Song,Performer,Weeks on Chart,Average Previous Week Position,Week Position
0 to 100  the catch up,drake,20,47,64
03 bonnie  clyde,jayz featuring beyonce knowles,23,15,46
1,nelly,20,38,72
1 2 3 4,plain white ts,20,48,62
1 2 3 4 sumpin new,coolio,21,24,50
1 2 3 red light,1910 fruitgum co,13,25,53
1 2 step,ciara featuring missy elliott,39,19,50
1 dee jay,goody goody,5,88,99
1 night,lil yachty,20,67,87
1 thing,amerie,20,38,87
10 bands,drake,13,78,100
10 freaky girls,metro boomin featuring 21 savage,4,54,70
10 little bottles,johnny bond,8,65,85
100,the game featuring drake,10,90,100
100 pure love,crystal waters,45,30,79
100 years,five for fighting,22,41,61
100 years,nancy sinatra,6,84,97
1000 laughs,eloise laws,6,94,95
10000 hours,dan  shay  justin bieber,30,15,46
1098,face to face,15,58,95
11,beyonce,2,57,89
123,gloria estefan  miami sound machine,19,30,94
123,len barry,15,27,77
123,the chimes,5,89,100
1234,feist,15,60,96
1234567 count the days,inez  charlie foxx,4,86,86
13 questions,seatrain,12,59,71
1400  999 freestyle,trippie redd featuring juice wrld,3,62,72
143,bobby brackins featuring ray j,11,88,99
1432 franklin pike circle hero,bobby russell,7,52,52
14all41,east coast family,6,89,98
15 minutes,marc nelson,16,56,85
16 candles,the crests,21,27,81
17,rick james,14,55,99
18 and life,skid row,20,33,100
18 yellow roses,bobby darin,10,31,61
18002738255,logic featuring alessia cara  khalid,41,34,68
19,paul hardcastle,14,36,85
19 somethin,mark wills,20,34,58
19 you  me,dan  shay,18,68,91
1900 yesterday,liz damons orient express,12,52,74
1901,phoenix,13,90,99
1927 kansas city,mike reilly,6,95,97
1941,tom northcott,2,88,88
1942,geazy featuring yo gotti  ybn nahmir,8,79,96
1973,james blunt,3,77,100
1979,the smashing pumpkins,22,23,47
1984,spirit,9,80,94
1985,bowling for soup,20,47,75
1985 intro to the fall off,j cole,2,20,79
1994,jason aldean,11,65,94
1999,prince,30,44,97
19th nervous breakdown,the rolling stones,10,10,27
1luv,e40 featuring leviti,14,79,93
1st of tha month,bone thugsnharmony,20,47,99
1st time,yung joc featuring marques houston  trey songz,6,89,96
2 become 1,spice girls,24,22,49
2 legit 2 quit,mc hammer,20,21,59
2 on,tinashe featuring schoolboy q,24,41,75
2 phones,kevin gates,25,36,71
2 reasons,trey songz featuring ti,20,57,81
2 step,unk,21,42,87
2 way street,missjones,13,80,100
2012 it aint the end,jay sean featuring nicki minaj,14,48,88
2020,george benson,13,67,94
2075,willie mitchell,10,53,82
21,polo g,8,85,100
21 guns,green day,20,34,60
21 questions,50 cent featuring nate dogg,23,15,49
22,taylor swift,20,33,65
223s,ynw melly  9lokknine,19,60,98
23,mike will madeit featuring miley cyrus wiz khalifa  juicy j,23,22,50
24,money man featuring lil baby,14,62,89
24 hours,teeflii featuring 2 chainz,7,89,96
247,dino,14,58,95
247,kevon edmonds,20,44,87
247,meek mill featuring ella mai,19,79,97
24k magic,bruno mars,41,21,50
24s,ti,15,85,99
25 or 6 to 4,chicago,20,34,84
