acousticness,artists,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,popularity,speechiness,tempo,valence,year,Song,Weeks on Chart,Average Previous Week Position,Week Position
0.805,gene autry,0.838,150160,0.354,0.0,1,0.301,-12.85,0,0.0369,96.638,0.976,1947,here comes santa claus right down santa claus lane,10,56.0,135.0
0.945,ray price,0.308,184933,0.302,0.0238,3,0.179,-10.064,7,0.029,67.086,0.214,1956,danny boy,8,33.0,73.0
0.7659999999999999,johnny mathis,0.249,177893,0.317,1.37e-06,9,0.292,-10.163,15,0.0309,90.207,0.171,1959,someone,13,45.0,118.0
0.873,conway twitty,0.467,146893,0.626,3.3100000000000005e-05,4,0.253,-8.596,21,0.0465,83.814,0.88,1959,mona lisa,12,47.0,129.0
0.838,jimmy reed,0.602,144442,0.7959999999999999,0.00255,9,0.0784,-7.576,11,0.0675,111.646,0.5579999999999999,1959,down in virginia,2,4.0,13.0
0.7490000000000001,frankie avalon,0.474,117093,0.22,6.08e-06,4,0.154,-14.031,13,0.0262,98.988,0.361,1960,a boy without a girl,14,68.0,164.0
0.0149,sandy nelson,0.379,182533,0.754,0.835,6,0.104,-12.292,12,0.0581,187.07,0.537,1960,teen beat,16,80.0,175.0
0.83,jimmy dean,0.379,129293,0.293,0.0,5,0.0879,-9.546,10,0.0295,113.618,0.376,1961,the first thing evry morning and the last thing evry night,3,8.0,16.0
0.73,lee dorsey,0.799,142072,0.5529999999999999,0.000962,5,0.108,-8.338,17,0.0652,140.665,0.924,1961,ya ya,13,72.0,169.0
0.399,chubby checker,0.477,228013,0.84,3.1e-06,8,0.604,-7.11,21,0.118,184.649,0.961,1962,twist it up,8,61.0,136.0
0.757,ricky nelson,0.595,120160,0.653,0.0,8,0.105,-8.318,21,0.0408,82.811,0.884,1962,its late,13,73.0,165.0
0.905,richard chamberlain,0.271,162960,0.175,0.0,9,0.251,-14.515,17,0.0348,110.915,0.19,1962,theme from dr kildare three stars will shine tonight,14,73.0,164.0
0.536,the village stompers,0.759,161187,0.451,0.102,4,0.152,-7.18,11,0.0402,120.278,0.836,1962,washington square,14,78.0,178.0
0.355,the supremes,0.71,151120,0.723,2.95e-06,3,0.124,-6.815,17,0.0316,120.278,0.977,1962,let me go the right way,5,5.0,18.0
0.816,claude king,0.579,147133,0.423,0.0,3,0.0859,-10.761,14,0.0355,150.77200000000005,0.815,1962,big river big man,5,8.0,33.0
0.0604,del shannon,0.5489999999999999,119667,0.918,4.09e-06,10,0.328,-3.82,20,0.0731,119.446,0.926,1962,so long baby,10,56.0,131.0
0.593,jimmy reed,0.556,152493,0.395,5.400000000000001e-05,5,0.266,-11.594,14,0.0267,96.443,0.6809999999999999,1962,good lover,4,20.0,42.0
